"Rk","Player","Nation","Pos","Squad","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G_plus_A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG_plus_xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_90","Ast_Per_90","G_plus_A_Per_90","G_minus_PK_Per_90","G_plus_A_minus_PK_Per_90","xG_Per_90","xAG_Per_90","xG_plus_xAG_Per_90","npxG_Per_90","npxG_plus_xAG_Per_90","Market_Value_Euro","Year"
86,"Mason Burstow","eng ENG","FW","Chelsea",19,2003,2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1800000,2024
87,"Moisés Caicedo","ec ECU","MF","Chelsea",21,2001,35,33,2866,31.8,1,3,4,1,0,0,11,0,0.4,0.4,2.6,3,27,173,27,0.03,0.09,0.13,0.03,0.13,0.01,0.08,0.09,0.01,0.09,7.5e+07,2024
88,"Tom Cairney","sct SCO","MF","Fulham",32,1991,34,14,1488,16.5,1,4,5,1,0,0,3,0,1.1,1.1,2.3,3.4,35,145,72,0.06,0.24,0.3,0.06,0.3,0.07,0.14,0.2,0.07,0.2,2e+06,2024
89,"Dominic Calvert-Lewin","eng ENG","FW","Everton",26,1997,32,26,2171,24.1,7,2,9,5,2,2,2,0,12.9,11.4,3.1,14.5,36,31,122,0.29,0.08,0.37,0.21,0.29,0.54,0.13,0.66,0.47,0.6,2.2e+07,2024
91,"Diego Carlos","br BRA","DF","Aston Villa",30,1993,27,20,1816,20.2,0,0,0,0,0,0,4,0,1.9,1.9,0.1,2,4,59,1,0,0,0,0,0,0.1,0,0.1,0.1,0.1,1.6e+07,2024
92,"Cesare Casadei","it ITA","FW,MF","Chelsea",20,2003,11,0,79,0.9,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,3,3,0,0,0,0,0,0,0.12,0.12,0,0.12,1e+07,2024
93,"Casemiro","br BRA","MF,DF","Manchester Utd",31,1992,25,24,1982,22,1,2,3,1,0,0,7,0,3.5,3.5,1,4.5,12,112,36,0.05,0.09,0.14,0.05,0.14,0.16,0.05,0.2,0.16,0.2,2e+07,2024
94,"Kaelan Casey","eng ENG","DF","West Ham",18,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,2024
95,"Matty Cash","pl POL","DF","Aston Villa",25,1997,29,23,2142,23.8,2,2,4,2,0,0,8,0,4.2,4.2,2.3,6.5,62,88,101,0.08,0.08,0.17,0.08,0.17,0.18,0.1,0.27,0.18,0.27,2.8e+07,2024
96,"Timothy Castagne","be BEL","DF","Fulham",27,1995,34,29,2634,29.3,1,3,4,1,0,0,3,0,1.6,1.6,1.9,3.5,48,77,113,0.03,0.1,0.14,0.03,0.14,0.06,0.07,0.12,0.06,0.12,1.7e+07,2024
98,"Trevoh Chalobah","eng ENG","DF","Chelsea",24,1999,13,10,952,10.6,1,0,1,1,0,0,1,0,0.2,0.2,0.1,0.3,5,31,9,0.09,0,0.09,0.09,0.09,0.02,0.01,0.02,0.02,0.02,1.3e+07,2024
99,"Calum Chambers","eng ENG","MF,DF","Aston Villa",28,1995,5,1,152,1.7,0,1,1,0,0,0,1,0,0,0,0.1,0.1,0,5,1,0,0.59,0.59,0,0.59,0,0.06,0.06,0,0.06,4e+06,2024
101,"Ben Chilwell","eng ENG","DF","Chelsea",26,1996,13,9,756,8.4,0,1,1,0,0,0,5,0,1.2,1.2,2.2,3.4,22,25,59,0,0.12,0.12,0,0.12,0.14,0.26,0.41,0.14,0.41,2.8e+07,2024
102,"Tawanda Chirewa","zw ZIM","MF,FW","Wolves",19,2003,8,1,145,1.6,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,1,7,8,0,0,0,0,0,0.1,0.02,0.12,0.1,0.12,5e+05,2024
103,"Leon Chiwome","eng ENG","FW","Wolves",17,2006,3,2,174,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,2,7,0,0,0,0,0,0.05,0,0.05,0.05,0.05,1e+06,2024
104,"Tahith Chong","nl NED","MF,FW","Luton Town",23,1999,33,20,1982,22,4,0,4,4,0,0,4,0,2.7,2.7,0.5,3.2,57,72,101,0.18,0,0.18,0.18,0.18,0.12,0.02,0.15,0.12,0.15,6e+06,2024
105,"Ryan Christie","sct SCO","MF","Bournemouth",28,1995,37,35,2907,32.3,0,5,5,0,0,0,6,0,2.3,2.3,5.4,7.7,60,167,78,0,0.15,0.15,0,0.15,0.07,0.17,0.24,0.07,0.24,1.2e+07,2024
106,"Carney Chukwuemeka","eng ENG","MF,FW","Chelsea",19,2003,9,2,227,2.5,1,1,2,1,0,0,2,0,0.2,0.2,0.3,0.5,4,12,19,0.4,0.4,0.79,0.4,0.79,0.06,0.13,0.19,0.06,0.19,1.5e+07,2024
107,"Bobby Clark","eng ENG","MF","Liverpool",18,2005,5,1,89,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,3,3,7,0,0,0,0,0,0.14,0,0.14,0.14,0.14,1e+06,2024
108,"Jordan Clark","eng ENG","MF","Luton Town",29,1993,23,14,1304,14.5,1,1,2,1,0,0,4,0,1,1,1.3,2.2,21,51,39,0.07,0.07,0.14,0.07,0.14,0.07,0.09,0.16,0.07,0.16,1e+06,2024
109,"Nathaniel Clyne","eng ENG","DF","Crystal Palace",32,1991,19,14,1338,14.9,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,10,33,18,0,0,0,0,0,0.01,0.01,0.03,0.01,0.03,1500000,2024
110,"Séamus Coleman","ie IRL","DF","Everton",34,1988,12,7,665,7.4,0,0,0,0,0,0,0,0,0,0,1,1,5,22,16,0,0,0,0,0,0,0.14,0.14,0,0.14,5e+05,2024
111,"Nathan Collins","ie IRL","DF","Brentford",22,2001,32,29,2652,29.5,1,1,2,1,0,0,3,0,1.7,1.7,2.2,3.9,11,97,18,0.03,0.03,0.07,0.03,0.07,0.06,0.07,0.13,0.06,0.13,2.5e+07,2024
112,"Levi Colwill","eng ENG","DF","Chelsea",20,2003,23,20,1797,20,1,1,2,1,0,0,2,0,1.3,1.3,1.2,2.5,23,73,27,0.05,0.05,0.1,0.05,0.1,0.06,0.06,0.12,0.06,0.12,5e+07,2024
113,"Lewis Cook","eng ENG","MF","Bournemouth",26,1997,33,32,2786,31,0,3,3,0,0,0,5,1,0.4,0.4,4.3,4.6,22,142,15,0,0.1,0.1,0,0.1,0.01,0.14,0.15,0.01,0.15,1.2e+07,2024
114,"Jack Cork","eng ENG","MF","Burnley",34,1989,4,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,8e+05,2024
115,"Maxwel Cornet","ci CIV","MF,FW","West Ham",26,1996,7,1,112,1.2,1,0,1,1,0,0,0,0,0.4,0.4,0.2,0.6,3,2,8,0.8,0,0.8,0.8,0.8,0.32,0.13,0.46,0.32,0.46,9e+06,2024
116,"Vladimír Coufal","cz CZE","DF","West Ham",30,1992,36,36,3132,34.8,0,7,7,0,0,0,7,1,0.3,0.3,4,4.3,68,119,126,0,0.2,0.2,0,0.2,0.01,0.11,0.12,0.01,0.12,8e+06,2024
117,"Philippe Coutinho","br BRA","MF,FW","Aston Villa",31,1992,2,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,5,5,2,0,0,0,0,0,0.52,0,0.52,0.52,0.52,7500000,2024
118,"Aaron Cresswell","eng ENG","DF,FW","West Ham",33,1989,11,4,436,4.8,0,0,0,0,0,0,1,0,0,0,0.4,0.4,4,26,6,0,0,0,0,0,0,0.09,0.09,0,0.09,9e+05,2024
119,"Marc Cucurella","es ESP","DF","Chelsea",25,1998,21,20,1782,19.8,0,2,2,0,0,0,10,0,1.1,1.1,1.1,2.2,31,50,73,0,0.1,0.1,0,0.1,0.06,0.05,0.11,0.06,0.11,2.5e+07,2024
120,"Josh Cullen","ie IRL","MF","Burnley",27,1996,25,23,2057,22.9,2,3,5,2,0,0,9,0,0.6,0.6,1.8,2.4,22,123,22,0.09,0.13,0.22,0.09,0.22,0.03,0.08,0.11,0.03,0.11,1e+07,2024
121,"Matheus Cunha","br BRA","FW,MF","Wolves",24,1999,32,29,2440,27.1,12,7,19,11,1,1,9,0,9.5,8.7,3.2,11.9,107,87,139,0.44,0.26,0.7,0.41,0.66,0.35,0.12,0.47,0.32,0.44,4.5e+07,2024
122,"Sam Curtis","ie IRL","DF","Sheffield Utd",17,2005,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,150000,2024
123,"Mahmoud Dahoud","de GER","MF","Brighton",27,1996,9,6,452,5,0,1,1,0,0,0,1,1,0.2,0.2,0.9,1.1,4,11,6,0,0.2,0.2,0,0.2,0.04,0.18,0.22,0.04,0.22,6e+06,2024
124,"Ameen Al-Dakhil","be BEL","DF","Burnley",21,2002,13,12,1056,11.7,1,0,1,1,0,0,1,0,1.3,1.3,0.1,1.4,7,35,9,0.09,0,0.09,0.09,0.09,0.11,0.01,0.12,0.11,0.12,1.2e+07,2024
125,"Diogo Dalot","pt POR","DF","Manchester Utd",24,1999,36,35,3174,35.3,2,3,5,2,0,0,6,1,1.7,1.7,2.9,4.6,52,124,111,0.06,0.09,0.14,0.06,0.14,0.05,0.08,0.13,0.05,0.13,3.5e+07,2024
126,"Mikkel Damsgaard","dk DEN","MF","Brentford",23,2000,23,7,842,9.4,0,2,2,0,0,0,2,0,0.9,0.9,1.4,2.4,16,61,32,0,0.21,0.21,0,0.21,0.1,0.16,0.25,0.1,0.25,1e+07,2024
127,"Danilo","br BRA","MF","Nott'ham Forest",22,2001,29,20,1792,19.9,2,2,4,2,0,0,4,0,1.8,1.8,1.5,3.4,22,83,28,0.1,0.1,0.2,0.1,0.2,0.09,0.08,0.17,0.09,0.17,2.8e+07,2024
128,"Arnaut Danjuma","nl NED","MF,FW","Everton",26,1997,14,5,595,6.6,1,0,1,1,0,0,0,0,2.6,2.6,1.1,3.7,24,9,44,0.15,0,0.15,0.15,0.15,0.4,0.17,0.57,0.4,0.57,1.3e+07,2024
129,"Jayden Danns","eng ENG","FW","Liverpool",17,2006,2,0,9,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1e+06,2024
130,"Josh Dasilva","eng ENG","DF,FW","Brentford",24,1998,3,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0.2,0.2,2,2,5,0,0,0,0,0,0,0.72,0.72,0,0.72,1e+07,2024
131,"David Datro Fofana","ci CIV","FW","Burnley",20,2002,15,10,879,9.8,4,1,5,4,0,0,1,0,4.5,4.5,1.8,6.4,21,15,39,0.41,0.1,0.51,0.41,0.51,0.46,0.19,0.65,0.46,0.65,1.2e+07,2024
131,"David Datro Fofana","ci CIV","FW","Burnley",20,2002,15,10,879,9.8,4,1,5,4,0,0,1,0,4.5,4.5,1.8,6.4,21,15,39,0.41,0.1,0.51,0.41,0.51,0.46,0.19,0.65,0.46,0.65,1.2e+07,2024
132,"Ben Davies","wls WAL","DF","Tottenham",30,1993,17,12,1090,12.1,1,0,1,1,0,0,2,0,2.3,2.3,0.4,2.7,13,71,20,0.08,0,0.08,0.08,0.08,0.19,0.03,0.23,0.19,0.23,1e+07,2024
133,"Tom Davies","eng ENG","MF","Sheffield Utd",25,1998,9,2,221,2.5,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.4,3,8,3,0,0,0,0,0,0.14,0.03,0.17,0.14,0.17,5e+06,2024
134,"Craig Dawson","eng ENG","DF","Wolves",33,1990,25,25,2209,24.5,1,1,2,1,0,0,7,0,1.5,1.5,1.4,2.9,1,49,4,0.04,0.04,0.08,0.04,0.08,0.06,0.06,0.12,0.06,0.12,2e+06,2024
135,"Kevin De Bruyne","be BEL","MF","Manchester City",32,1991,18,15,1221,13.6,4,10,14,4,0,0,2,0,2.4,2.4,11.5,14,47,111,133,0.29,0.74,1.03,0.29,1.03,0.18,0.85,1.03,0.18,1.03,5e+07,2024
136,"Hannes Delcroix","be BEL","DF","Burnley",24,1999,12,5,589,6.5,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,2,18,6,0,0,0,0,0,0.05,0.03,0.09,0.05,0.09,4e+06,2024
137,"Leander Dendoncker","be BEL","MF","Aston Villa",28,1995,8,1,119,1.3,1,0,1,1,0,0,0,0,0.7,0.7,0,0.7,0,3,2,0.76,0,0.76,0.76,0.76,0.56,0,0.56,0.56,0.56,7e+06,2024
138,"Moussa Diaby","fr FRA","FW,MF","Aston Villa",24,1999,38,25,2174,24.2,6,8,14,6,0,0,1,0,7,7,6.6,13.6,94,72,183,0.25,0.33,0.58,0.25,0.58,0.29,0.27,0.56,0.29,0.56,5.5e+07,2024
139,"Amad Diallo","ci CIV","FW,MF","Manchester Utd",21,2002,9,3,390,4.3,1,1,2,1,0,0,1,0,0.5,0.5,1.1,1.6,11,10,31,0.23,0.23,0.46,0.23,0.46,0.12,0.24,0.36,0.12,0.36,1.8e+07,2024
140,"Amadou Diallo","eng ENG","MF","Newcastle Utd",20,2003,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e+05,2024
141,"Rúben Dias","pt POR","DF","Manchester City",26,1997,30,28,2559,28.4,0,0,0,0,0,0,0,0,1.4,1.4,0.3,1.7,34,173,16,0,0,0,0,0,0.05,0.01,0.06,0.05,0.06,8e+07,2024
142,"Luis Díaz","co COL","FW","Liverpool",26,1997,37,32,2629,29.2,8,5,13,8,0,0,3,0,11.9,11.9,5.7,17.5,137,113,302,0.27,0.17,0.45,0.27,0.45,0.41,0.19,0.6,0.41,0.6,7.5e+07,2024
143,"Eric Dier","eng ENG","DF","Tottenham",29,1994,4,1,201,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1.2e+07,2024
144,"Lucas Digne","fr FRA","DF","Aston Villa",30,1993,33,27,2410,26.8,1,3,4,1,0,0,7,0,1.1,1.1,4.1,5.2,42,77,200,0.04,0.11,0.15,0.04,0.15,0.04,0.15,0.19,0.04,0.19,1.2e+07,2024
145,"Issa Diop","fr FRA","DF","Fulham",26,1997,18,16,1424,15.8,0,0,0,0,0,0,4,1,0.3,0.3,0,0.3,11,66,1,0,0,0,0,0,0.02,0,0.02,0.02,0.02,2e+07,2024
146,"Axel Disasi","fr FRA","DF","Chelsea",25,1998,31,29,2579,28.7,2,0,2,2,0,0,6,0,2.4,2.4,0.3,2.7,30,112,21,0.07,0,0.07,0.07,0.07,0.08,0.01,0.09,0.08,0.09,4e+07,2024
147,"Ben Doak","sct SCO","FW","Liverpool",17,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+07,2024
148,"Lewis Dobbin","eng ENG","MF","Everton",20,2003,12,1,232,2.6,1,0,1,1,0,0,1,0,0.3,0.3,0.5,0.8,6,3,20,0.39,0,0.39,0.39,0.39,0.11,0.19,0.3,0.11,0.3,2500000,2024
149,"Matt Doherty","ie IRL","DF,MF","Wolves",31,1992,30,9,1150,12.8,1,0,1,1,0,0,2,0,0.8,0.8,1.3,2.2,12,31,64,0.08,0,0.08,0.08,0.08,0.07,0.1,0.17,0.07,0.17,3e+06,2024
151,"Nicolás Domínguez","ar ARG","MF,FW","Nott'ham Forest",25,1998,26,19,1495,16.6,2,2,4,2,0,0,4,0,1.3,1.3,1,2.3,14,91,43,0.12,0.12,0.24,0.12,0.24,0.08,0.06,0.14,0.08,0.14,1.7e+07,2024
152,"Jamie Donley","eng ENG","FW","Tottenham",18,2005,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000,2024
153,"Abdoulaye Doucouré","ml MLI","FW,MF","Everton",30,1993,32,32,2629,29.2,7,1,8,7,0,0,7,0,8.8,8.8,2.9,11.6,55,97,140,0.24,0.03,0.27,0.24,0.27,0.3,0.1,0.4,0.3,0.4,1e+07,2024
154,"Cheick Doucouré","ml MLI","MF","Crystal Palace",23,2000,11,11,919,10.2,0,0,0,0,0,0,2,0,0.3,0.3,0.7,1,9,49,5,0,0,0,0,0,0.03,0.07,0.1,0.03,0.1,3.5e+07,2024
155,"Alfie Doughty","eng ENG","DF","Luton Town",23,1999,37,34,2925,32.5,2,8,10,2,0,0,5,0,1.3,1.3,6.3,7.6,94,106,164,0.06,0.25,0.31,0.06,0.31,0.04,0.19,0.23,0.04,0.23,1e+07,2024
156,"Tommy Doyle","eng ENG","MF","Wolves",21,2001,26,11,1222,13.6,0,0,0,0,0,0,2,0,0.4,0.4,0.4,0.9,21,81,17,0,0,0,0,0,0.03,0.03,0.06,0.03,0.06,1e+07,2024
157,"Radu Drăgușin","ro ROU","DF","Tottenham",21,2002,9,4,429,4.8,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,5,8,1,0,0,0,0,0,0.03,0,0.03,0.03,0.03,2.5e+07,2024
158,"Martin Dúbravka","sk SVK","GK","Newcastle Utd",34,1989,23,22,1985,22.1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,2024
159,"Paul Dummett","wls WAL","DF","Newcastle Utd",31,1991,5,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.11,0,0.11,0.11,0.11,9e+05,2024
160,"Lewis Dunk","eng ENG","DF","Brighton",31,1991,33,33,2869,31.9,3,1,4,3,0,0,7,1,3.1,3.1,0.9,4,33,152,13,0.09,0.03,0.13,0.09,0.13,0.1,0.03,0.12,0.1,0.12,1.2e+07,2024
161,"Jhon Durán","co COL","FW,MF","Aston Villa",19,2003,23,3,475,5.3,5,0,5,5,0,0,5,0,2,2,0.3,2.3,9,9,25,0.95,0,0.95,0.95,0.95,0.38,0.06,0.44,0.38,0.44,2e+07,2024
162,"George Earthy","eng ENG","FW","West Ham",18,2004,3,0,34,0.4,1,0,1,1,0,0,0,0,0.3,0.3,0,0.3,0,1,3,2.65,0,2.65,2.65,2.65,0.82,0,0.82,0.82,0.82,1e+06,2024
163,"Ederson","br BRA","GK","Manchester City",29,1993,33,33,2785,30.9,0,0,0,0,0,0,5,0,0,0,0.1,0.1,0,4,0,0,0,0,0,0,0,0,0,0,0,3.5e+07,2024
165,"John Egan","ie IRL","DF","Sheffield Utd",30,1992,6,6,482,5.4,0,0,0,0,0,0,2,0,0.2,0.2,0,0.2,0,5,1,0,0,0,0,0,0.03,0,0.03,0.03,0.03,4e+06,2024
166,"Hjalmar Ekdal","se SWE","DF","Burnley",24,1998,8,5,437,4.9,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,5,11,1,0,0,0,0,0,0.01,0.01,0.03,0.01,0.03,7e+06,2024
167,"Anthony Elanga","se SWE","FW,MF","Nott'ham Forest",21,2002,36,25,2433,27,5,9,14,5,0,0,1,0,6.6,6.6,6.7,13.3,98,49,196,0.18,0.33,0.52,0.18,0.52,0.24,0.25,0.49,0.24,0.49,2.2e+07,2024
168,"Harvey Elliott","eng ENG","MF,FW","Liverpool",20,2003,34,11,1352,15,3,6,9,3,0,0,2,0,2.7,2.7,3.5,6.2,44,128,122,0.2,0.4,0.6,0.2,0.6,0.18,0.23,0.42,0.18,0.42,3.5e+07,2024
169,"Mohamed Elneny","eg EGY","MF","Arsenal",31,1992,3,0,28,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,1,0,0,0,0,0,0,0.26,0,0.26,0.26,0.26,3500000,2024
170,"Emerson","br BRA","DF","Tottenham",24,1999,22,11,1161,12.9,1,0,1,1,0,0,4,0,0.2,0.2,0.4,0.6,21,57,35,0.08,0,0.08,0.08,0.08,0.02,0.03,0.05,0.02,0.05,1.2e+07,2024
171,"Julio Enciso","py PAR","MF,FW","Brighton",19,2004,12,5,475,5.3,0,2,2,0,0,0,2,0,1.4,1.4,1.7,3.2,28,21,29,0,0.38,0.38,0,0.38,0.27,0.32,0.59,0.27,0.59,2.2e+07,2024
172,"Wataru Endo","jp JPN","MF","Liverpool",30,1993,29,20,1722,19.1,1,0,1,1,0,0,10,0,0.5,0.5,1.7,2.3,10,101,21,0.05,0,0.05,0.05,0.05,0.03,0.09,0.12,0.03,0.12,1.3e+07,2024
173,"Christian Eriksen","dk DEN","MF","Manchester Utd",31,1992,22,12,1141,12.7,1,2,3,1,0,0,1,0,1,1,2.3,3.3,20,68,23,0.08,0.16,0.24,0.08,0.24,0.08,0.18,0.26,0.08,0.26,8e+06,2024
174,"Maxime Estève","fr FRA","DF","Burnley",21,2002,16,15,1309,14.5,0,0,0,0,0,0,6,0,0.3,0.3,0,0.3,15,40,3,0,0,0,0,0,0.02,0,0.02,0.02,0.02,7e+06,2024
175,"Pervis Estupiñán","ec ECU","DF","Brighton",25,1998,19,15,1243,13.8,2,3,5,2,0,0,4,0,1,1,3.5,4.4,47,83,88,0.14,0.22,0.36,0.14,0.36,0.07,0.25,0.32,0.07,0.32,3e+07,2024
176,"Jonny Evans","nir NIR","DF","Manchester Utd",35,1988,23,15,1392,15.5,0,1,1,0,0,0,2,0,0.1,0.1,1.2,1.2,7,37,1,0,0.06,0.06,0,0.06,0,0.08,0.08,0,0.08,2e+06,2024
177,"Eberechi Eze","eng ENG","MF,FW","Crystal Palace",25,1998,27,24,2055,22.8,11,4,15,10,1,1,3,0,9.1,8.3,5.2,13.5,68,93,139,0.48,0.18,0.66,0.44,0.61,0.4,0.23,0.62,0.36,0.59,5.5e+07,2024
179,"Romain Faivre","fr FRA","MF,FW","Bournemouth",25,1998,5,0,41,0.5,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,4,5,4,0,0,0,0,0,0.34,0,0.34,0.34,0.34,1.5e+07,2024
180,"Ansu Fati","es ESP","MF,FW","Brighton",20,2002,19,3,521,5.8,2,0,2,2,0,0,2,0,3.4,3.4,0.8,4.2,16,28,50,0.35,0,0.35,0.35,0.35,0.59,0.14,0.73,0.59,0.73,2.5e+07,2024
181,"Felipe","br BRA","DF","Nott'ham Forest",34,1989,7,4,375,4.2,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,1,6,0,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,1500000,2024
182,"Evan Ferguson","ie IRL","FW","Brighton",18,2004,27,15,1367,15.2,6,0,6,6,0,0,1,0,4.6,4.6,0.5,5.1,13,15,62,0.4,0,0.4,0.4,0.4,0.3,0.04,0.34,0.3,0.34,5e+07,2024
183,"Bruno Fernandes","pt POR","MF,FW","Manchester Utd",28,1994,35,35,3118,34.6,10,8,18,6,4,5,9,0,10,6.1,11.8,17.8,86,297,182,0.29,0.23,0.52,0.17,0.4,0.29,0.34,0.63,0.18,0.51,7e+07,2024
184,"Enzo Fernández","ar ARG","MF","Chelsea",22,2001,28,26,2209,24.5,3,2,5,2,1,2,7,0,6.2,4.6,3.4,8,52,210,54,0.12,0.08,0.2,0.08,0.16,0.25,0.14,0.39,0.19,0.33,7.5e+07,2024
185,"John Fleck","sct SCO","MF,DF","Sheffield Utd",31,1991,4,1,92,1,0,0,0,0,0,0,1,0,0,0,0.4,0.4,2,3,0,0,0,0,0,0,0,0.44,0.44,0,0.44,9e+05,2024
186,"Mark Flekken","nl NED","GK","Brentford",30,1993,37,37,3285,36.5,0,1,1,0,0,0,3,0,0,0,0.5,0.5,0,5,0,0,0.03,0.03,0,0.03,0,0.01,0.01,0,0.01,1.2e+07,2024
187,"Phil Foden","eng ENG","FW,MF","Manchester City",23,2000,35,33,2857,31.7,19,8,27,19,0,0,2,0,10.3,10.3,8.4,18.7,93,168,269,0.6,0.25,0.85,0.6,0.85,0.33,0.26,0.59,0.33,0.59,1.5e+08,2024
188,"Wes Foderingham","eng ENG","GK","Sheffield Utd",32,1991,30,29,2649,29.4,0,0,0,0,0,0,2,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,9e+05,2024
189,"Pablo Fornals","es ESP","MF,FW","West Ham",27,1996,15,4,426,4.7,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,4,29,27,0,0,0,0,0,0.07,0.07,0.13,0.07,0.13,1.4e+07,2024
190,"Omari Forson","eng ENG","FW","Manchester Utd",19,2004,4,1,70,0.8,0,1,1,0,0,0,0,0,0,0,0.2,0.2,1,2,2,0,1.29,1.29,0,1.29,0.04,0.23,0.27,0.04,0.27,2e+06,2024
191,"Lyle Foster","za RSA","FW,MF","Burnley",22,2000,24,22,1899,21.1,5,3,8,5,0,0,0,1,4.5,4.5,1.9,6.4,55,37,104,0.24,0.14,0.38,0.24,0.38,0.21,0.09,0.3,0.21,0.3,1.3e+07,2024
192,"Matheus França","br BRA","MF,FW","Crystal Palace",19,2004,10,1,232,2.6,0,1,1,0,0,0,1,0,0.4,0.4,0.9,1.2,12,8,12,0,0.39,0.39,0,0.39,0.14,0.34,0.48,0.14,0.48,1.5e+07,2024
193,"Nathan Fraser","ie IRL","FW","Wolves",18,2005,7,1,186,2.1,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,1,2,21,0,0,0,0,0,0.16,0.04,0.19,0.16,0.19,1e+06,2024
194,"Cody Gakpo","nl NED","FW,MF","Liverpool",24,1999,35,17,1649,18.3,8,5,13,8,0,0,1,0,9,9,2.9,11.8,43,83,130,0.44,0.27,0.71,0.44,0.71,0.49,0.16,0.64,0.49,0.64,5e+07,2024
195,"Conor Gallagher","eng ENG","MF","Chelsea",23,2000,37,37,3128,34.8,5,7,12,5,0,0,9,1,4.2,4.2,5,9.2,62,172,122,0.14,0.2,0.35,0.14,0.35,0.12,0.15,0.27,0.12,0.27,5e+07,2024
197,"Alejandro Garnacho","ar ARG","FW","Manchester Utd",19,2004,36,30,2565,28.5,7,4,11,7,0,0,4,0,8.4,8.3,5.1,13.4,178,62,281,0.25,0.14,0.39,0.25,0.39,0.29,0.18,0.47,0.29,0.47,4.5e+07,2024
198,"James Garner","eng ENG","MF","Everton",22,2001,37,34,3004,33.4,1,2,3,1,0,0,7,0,2.7,2.7,4.6,7.3,36,100,76,0.03,0.06,0.09,0.03,0.09,0.08,0.14,0.22,0.08,0.22,2.2e+07,2024
199,"Saman Ghoddos","ir IRN","DF","Brentford",29,1993,19,7,739,8.2,1,0,1,1,0,0,5,0,0.3,0.3,1.1,1.4,22,36,31,0.12,0,0.12,0.12,0.12,0.04,0.13,0.17,0.04,0.17,2e+06,2024
200,"Morgan Gibbs-White","eng ENG","MF,FW","Nott'ham Forest",23,2000,37,35,3156,35.1,5,10,15,4,1,1,9,0,6.9,6.1,8.4,14.6,80,170,181,0.14,0.29,0.43,0.11,0.4,0.2,0.24,0.44,0.17,0.42,4e+07,2024
201,"Bryan Gil","es ESP","FW,MF","Tottenham",22,2001,11,2,209,2.3,0,0,0,0,0,0,0,0,0.8,0.8,0.2,1,11,16,49,0,0,0,0,0,0.32,0.09,0.41,0.32,0.41,1.4e+07,2024
202,"Alfie Gilchrist","eng ENG","DF","Chelsea",19,2003,11,2,207,2.3,1,0,1,1,0,0,1,0,0.3,0.3,0,0.3,1,7,4,0.43,0,0.43,0.43,0.43,0.14,0,0.14,0.14,0.14,5e+06,2024
203,"Billy Gilmour","sct SCO","MF","Brighton",22,2001,30,24,2120,23.6,0,1,1,0,0,0,8,1,1,1,2,3,39,193,33,0,0.04,0.04,0,0.04,0.04,0.09,0.13,0.04,0.13,1.8e+07,2024
